,id,header,status,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
0,65099420,Apartment Willemsparkweg,Highlighted,5400.0,1071,GN,Museumkwartier,185,6,Upholstered,Aham Vastgoed,http://www.pararius.com/apartment-for-rent/amsterdam/65099420/willemsparkweg,2022-09-25 21:19:39
1,66bb1ca0,Apartment Zeelandstraat 48 2,New,1800.0,1082,BX,Buitenveldert-West,76,3,Upholstered or furnished,Nosa Vastgoed,http://www.pararius.com/apartment-for-rent/amsterdam/66bb1ca0/zeelandstraat,2022-09-25 21:19:39
2,32531a24,Apartment Prinsengracht,New,5500.0,1016,HP,Grachtengordel-West,177,4,Upholstered,NOORESTATE,http://www.pararius.com/apartment-for-rent/amsterdam/32531a24/prinsengracht,2022-09-25 21:19:39
3,90227495,Apartment Tweede Boerhaavestraat 78 HS,New,2750.0,1091,AR,Oosterparkbuurt,120,5,Upholstered,JLG Real Estate,http://www.pararius.com/apartment-for-rent/amsterdam/90227495/tweede-boerhaavestraat,2022-09-25 21:19:39
4,f45ef5bb,Apartment Elpermeer,New,1600.0,1025,AK,Buikslotermeer,85,2,Upholstered,Zen Home Rentals,http://www.pararius.com/apartment-for-rent/amsterdam/f45ef5bb/elpermeer,2022-09-25 21:19:39
5,bc89e22f,Apartment Albatrospad 142 7,NA,3250.0,1021,TR,IJplein/Vogelbuurt,130,3,Furnished,Oei Housing Amsterdam - Expat Apartments,http://www.pararius.com/apartment-for-rent/amsterdam/bc89e22f/albatrospad,2022-09-25 21:19:39
6,b64eea9d,Apartment Bloemgracht 191 C,NA,2200.0,1016,KP,Jordaan,67,3,Upholstered,Dutch Housing Centre BV,http://www.pararius.com/apartment-for-rent/amsterdam/b64eea9d/bloemgracht,2022-09-25 21:19:39
7,4ebc076e,Apartment Ecuplein 13,NA,1650.0,1060,RN,Middelveldsche Akerpolder,92,3,Furnished,Koops Makelaardij Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/4ebc076e/ecuplein,2022-09-25 21:19:39
8,a13c1796,Apartment Van Leijenberghlaan,Rented under option,1850.0,1082,DD,Buitenveldert-West,86,3,NA,Ramón Mossel Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/a13c1796/van-leijenberghlaan,2022-09-25 21:19:39
9,949ee78b,Apartment Ben Viljoenstraat,NA,2950.0,1091,XS,Transvaalbuurt,85,4,Furnished,Expat Rentals Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/949ee78b/ben-viljoenstraat,2022-09-25 21:19:39
10,05e8cc95,Apartment Deurloostraat,NA,2175.0,1078,HX,Scheldebuurt,92,4,Upholstered or furnished,Mac Housing,http://www.pararius.com/apartment-for-rent/amsterdam/05e8cc95/deurloostraat,2022-09-25 21:19:39
11,a83b454d,Apartment Brittenburg 5,NA,1850.0,1082,BS,Buitenveldert-West,67,3,Furnished,Koops Makelaardij Amstelveen,http://www.pararius.com/apartment-for-rent/amsterdam/a83b454d/brittenburg,2022-09-25 21:19:39
12,01dd1986,Apartment Kromme-Mijdrechtstraat,NA,2950.0,1079,KP,Rijnbuurt,75,3,Upholstered,Infinitas Real Estate,http://www.pararius.com/apartment-for-rent/amsterdam/01dd1986/kromme-mijdrechtstraat,2022-09-25 21:19:39
13,1096eebb,Apartment Van Beuningenstraat 3 A,NA,2200.0,1051,XC,Staatsliedenbuurt,80,4,Furnished,JLG Real Estate,http://www.pararius.com/apartment-for-rent/amsterdam/1096eebb/van-beuningenstraat,2022-09-25 21:19:39
14,f7ed3dcc,Apartment Quellijnstraat 105 2A,NA,1400.0,1073,XH,Oude Pijp,32,2,Upholstered,Van Huis Uit Makelaars,http://www.pararius.com/apartment-for-rent/amsterdam/f7ed3dcc/quellijnstraat,2022-09-25 21:19:39
15,51974e2e,Apartment Van Baerlestraat 36 1,NA,2250.0,1071,AX,Museumkwartier,70,2,Upholstered,Parker & Williams Real Estate Services,http://www.pararius.com/apartment-for-rent/amsterdam/51974e2e/van-baerlestraat,2022-09-25 21:19:39
16,34eafbae,Apartment Valeriusstraat,NA,5500.0,1071,MD,Museumkwartier,144,5,Upholstered or furnished,VV Real Estate,http://www.pararius.com/apartment-for-rent/amsterdam/34eafbae/valeriusstraat,2022-09-25 21:19:39
17,884e18bf,Apartment Oostenburgervoorstraat 292,NA,3100.0,1018,MR,Oostelijke Eilanden/Kadijken,100,3,Furnished,Van Huis Uit Makelaars,http://www.pararius.com/apartment-for-rent/amsterdam/884e18bf/oostenburgervoorstraat,2022-09-25 21:19:39
18,bdbfaea8,House Eerste Jan van der Heijdenstraat 53 A,NA,3000.0,1072,TK,Oude Pijp,102,4,Furnished,AmsterHomes,http://www.pararius.com/house-for-rent/amsterdam/bdbfaea8/eerste-jan-van-der-heijdenstraat,2022-09-25 21:19:39
19,9fe211c3,Apartment Loenermark 199,NA,2500.0,1025,ST,Buikslotermeer,81,4,Upholstered,+31 Vastgoed,http://www.pararius.com/apartment-for-rent/amsterdam/9fe211c3/loenermark,2022-09-25 21:19:39
20,df883b7f,Apartment Grevelingenstraat 2 H,NA,2500.0,1078,KN,Scheldebuurt,88,4,Upholstered or furnished,JRS Makelaars Heemstede,http://www.pararius.com/apartment-for-rent/amsterdam/df883b7f/grevelingenstraat,2022-09-25 21:19:39
