,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
0,1422f582,Apartment Commelinstraat,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",2450.0,1093,TR,Dapperbuurt,70,3,Furnished,Hausing,https://www.pararius.com/apartment-for-rent/amsterdam/1422f582/commelinstraat,2022-10-19 20:33:16
1,9fe8afba,Apartment Jacques Oppenheimstraat,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",1950.0,1063,PS,Slotermeer-Zuidwest,70,4,NA,Hausing,https://www.pararius.com/apartment-for-rent/amsterdam/9fe8afba/jacques-oppenheimstraat,2022-10-19 20:33:16
2,e34cfac5,Apartment Krombekstraat,"
19-10-2022
","
Immediately
",New,"
For rent
",1850.0,1104,KT,Bijlmer Oost ,65,2,Upholstered,Batenburg Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/e34cfac5/krombekstraat,2022-10-19 20:33:16
3,f2a5d8b2,Apartment Courbetstraat 10 II,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",1152.0,1077,ZT,Apollobuurt,30,1,Furnished,HousingNet,https://www.pararius.com/apartment-for-rent/amsterdam/f2a5d8b2/courbetstraat,2022-10-19 20:33:16
4,8cdd1bcf,Apartment Tweede Kostverlorenkade 24 III,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",2100.0,1053,TP,Kinkerbuurt,72,3,Furnished,Amsterdam Housing,https://www.pararius.com/apartment-for-rent/amsterdam/8cdd1bcf/tweede-kostverlorenkade,2022-10-19 20:33:16
5,ebb7b63a,Apartment Van Ostadestraat 139 bgg,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",2450.0,1072,SW,Nieuwe Pijp,69,2,Furnished,Amsterdam Housing,https://www.pararius.com/apartment-for-rent/amsterdam/ebb7b63a/van-ostadestraat,2022-10-19 20:33:16
6,807be7f6,Apartment Vondelkerkstraat,"
19-10-2022
","
From 01-12-2022
",New,"
For rent
",4000.0,1054,KZ,Overtoomse Sluis,120,4,Furnished,Prestige Housing,https://www.pararius.com/apartment-for-rent/amsterdam/807be7f6/vondelkerkstraat,2022-10-19 20:33:16
7,36f7ebf3,Apartment Paramaribostraat 35 III,"
19-10-2022
","
Immediately
",New,"
For rent
",1975.0,1058,VG,Westindische Buurt,50,2,Furnished,Makelaarshuis Amsterdam - Zaanstad,https://www.pararius.com/apartment-for-rent/amsterdam/36f7ebf3/paramaribostraat,2022-10-19 20:33:16
8,6d4874c8,Apartment Goudsbloemstraat,"
19-10-2022
","
From 01-12-2022
",New,"
For rent
",1250.0,1015,JJ,Jordaan,35,2,NA,Houserenting4all.nl,https://www.pararius.com/apartment-for-rent/amsterdam/6d4874c8/goudsbloemstraat,2022-10-19 20:33:16
9,554bbb7c,Apartment Nieuw Herlaer,"
19-10-2022
","
In consultation
",New,"
For rent
",2100.0,1083,BB,Buitenveldert-Oost,125,4,Upholstered,Rijsterborgh Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/554bbb7c/nieuw-herlaer,2022-10-19 20:33:16
10,13b33ac8,Apartment Sint Nicolaasstraat 2 B,"
19-10-2022
","
In consultation
",New,"
For rent
",2500.0,1012,NK,Burgwallen-Nieuwe Zijde,100,4,Upholstered,HousingNet,https://www.pararius.com/apartment-for-rent/amsterdam/13b33ac8/sint-nicolaasstraat,2022-10-19 20:33:16
11,05b5d09d,Apartment Sprinklerstraat,"
19-10-2022
","
Immediately
",New,"
For rent
",2500.0,1019,VR,Indische Buurt Oost,94,3,Furnished,Inter Immo Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/05b5d09d/sprinklerstraat,2022-10-19 20:33:16
12,e040bfd3,House Bloemgracht 172,"
19-10-2022
","
Immediately
",New,"
For rent
",6000.0,1015,TV,Jordaan,202,8,Upholstered,Amsterdam Wonen,https://www.pararius.com/house-for-rent/amsterdam/e040bfd3/bloemgracht,2022-10-19 20:33:16
13,9a280d3b,Apartment Rijswijkstraat 151 B,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",1250.0,1062,ES,Westlandgracht,52,2,Upholstered,LIV Residential,https://www.pararius.com/apartment-for-rent/amsterdam/9a280d3b/rijswijkstraat,2022-10-19 20:33:16
14,d8647f23,Apartment Pieter Calandlaan,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",1750.0,1069,SC,Osdorp-Midden,90,3,Furnished,HB Housing,https://www.pararius.com/apartment-for-rent/amsterdam/d8647f23/pieter-calandlaan,2022-10-19 20:33:16
15,112b3b22,Apartment Rustenburgerstraat 146 A22,"
19-10-2022
","
From 01-11-2022
",New,"
For rent
",2150.0,1073,GJ,Nieuwe Pijp,55,3,Furnished,ViaDaan,https://www.pararius.com/apartment-for-rent/amsterdam/112b3b22/rustenburgerstraat,2022-10-19 20:33:16
